date,txf_dealer_long_oi,txf_dealer_short_oi,txf_dealer_net_oi,txf_foreigner_long_oi,txf_foreigner_short_oi,txf_foreigner_net_oi,txf_trust_long_oi,txf_trust_short_oi,txf_trust_net_oi,txf_long_oi,txf_short_oi,txf_net_oi,mxf_dealer_long_oi,mxf_dealer_short_oi,mxf_dealer_net_oi,mxf_foreigner_long_oi,mxf_foreigner_short_oi,mxf_foreigner_net_oi,mxf_trust_long_oi,mxf_trust_short_oi,mxf_trust_net_oi,mxf_long_oi,mxf_short_oi,mxf_net_oi,open,high,low,close,volume
2008-07-17,3390,8083,-4693,26891,29629,-2738,2920,6149,-3229,33201,43861,-10660,1228,3185,-1957,248,651,-403,0,3,-3,1476,3839,-2363,6700.0,6848.0,6689.0,6797.0,74717
2008-07-18,2896,9725,-6829,27635,26067,1568,2951,6617,-3666,33482,42409,-8927,1271,3726,-2455,248,876,-628,0,53,-53,1519,4655,-3136,6860.0,6888.0,6599.0,6681.0,87374
2008-07-21,3668,8171,-4503,28841,28976,-135,2573,6191,-3618,35082,43338,-8256,1481,2134,-653,514,804,-290,0,3,-3,1995,2941,-946,6845.0,7020.0,6840.0,7007.0,71813
2008-07-22,3940,8539,-4599,27886,29201,-1315,2482,5977,-3495,34308,43717,-9409,1299,2559,-1260,514,1165,-651,0,113,-113,1813,3837,-2024,6943.0,7010.0,6886.0,6967.0,75341
2008-07-23,5061,7015,-1954,25885,30244,-4359,2618,5396,-2778,33564,42655,-9091,2033,1851,182,514,973,-459,0,3,-3,2547,2827,-280,7100.0,7250.0,7075.0,7186.0,80107
2008-07-24,6468,6735,-267,25187,27438,-2251,2919,5221,-2302,34574,39394,-4820,1950,1626,324,514,862,-348,0,131,-131,2464,2619,-155,7262.0,7306.0,7208.0,7304.0,64281
2008-07-25,5401,7546,-2145,24609,28512,-3903,2792,5613,-2821,32802,41671,-8869,1418,1792,-374,514,1126,-612,0,3,-3,1932,2921,-989,7188.0,7190.0,7082.0,7170.0,62134
2008-07-29,3398,8635,-5237,25392,26966,-1574,2608,6125,-3517,31398,41726,-10328,1343,3410,-2067,514,1194,-680,0,180,-180,1857,4784,-2927,6950.0,6980.0,6866.0,6916.0,57777
2008-07-30,2931,7191,-4260,25834,26675,-841,2311,5927,-3616,31076,39793,-8717,1709,3939,-2230,514,1210,-696,0,3,-3,2223,5152,-2929,7070.0,7085.0,6966.0,7022.0,66831
2008-07-31,2476,8464,-5988,29245,27260,1985,2192,6409,-4217,33913,42133,-8220,2011,5521,-3510,209,977,-768,0,3,-3,2220,6501,-4281,7098.0,7147.0,6890.0,6998.0,84825
2008-08-01,2496,8617,-6121,28425,28542,-117,2197,6250,-4053,33118,43409,-10291,1677,5527,-3850,0,845,-845,0,118,-118,1677,6490,-4813,6901.0,6969.0,6851.0,6914.0,66509
2008-08-04,2751,8399,-5648,27654,27647,7,2364,6712,-4348,32769,42758,-9989,1649,4596,-2947,0,412,-412,0,3,-3,1649,5011,-3362,6852.0,6964.0,6850.0,6934.0,53143
2008-08-05,2189,9279,-7090,27810,30404,-2594,2430,7007,-4577,32429,46690,-14261,1034,4320,-3286,0,1084,-1084,0,203,-203,1034,5607,-4573,6973.0,6993.0,6756.0,6778.0,81580
2008-08-06,3082,8669,-5587,27601,29416,-1815,2413,6705,-4292,33096,44790,-11694,1569,2596,-1027,0,823,-823,0,3,-3,1569,3422,-1853,6970.0,7030.0,6910.0,7017.0,63636
2008-08-07,3007,8757,-5750,28060,29799,-1739,2815,6332,-3517,33882,44888,-11006,1352,2636,-1284,89,764,-675,0,151,-151,1441,3551,-2110,7002.0,7055.0,6960.0,7006.0,64802
2008-08-08,4080,8257,-4177,26316,29471,-3155,2809,5312,-2503,33205,43040,-9835,2847,2526,321,318,975,-657,0,3,-3,3165,3504,-339,6941.0,7234.0,6936.0,7189.0,87708
2008-08-11,3908,8369,-4461,25901,27390,-1489,3017,5129,-2112,32826,40888,-8062,2940,2513,427,318,1228,-910,1,3,-2,3259,3744,-485,7268.0,7339.0,7250.0,7289.0,59555
2008-08-12,4260,8507,-4247,25133,27284,-2151,2898,4971,-2073,32291,40762,-8471,2854,2877,-23,402,1173,-771,2,3,-1,3258,4053,-795,7288.0,7333.0,7255.0,7270.0,56265
2008-08-13,4644,8551,-3907,23739,29058,-5319,2753,4720,-1967,31136,42329,-11193,2064,3170,-1106,269,1439,-1170,2,3,-1,2335,4612,-2277,7258.0,7308.0,7190.0,7299.0,73849
2008-08-14,4934,7878,-2944,24002,29856,-5854,2835,4834,-1999,31771,42568,-10797,2637,3015,-378,0,1290,-1290,2,63,-61,2639,4368,-1729,7280.0,7364.0,7230.0,7363.0,64327
2008-08-15,2455,8444,-5989,23587,29195,-5608,2713,4868,-2155,28755,42507,-13752,2415,4146,-1731,0,1703,-1703,2,3,-1,2417,5852,-3435,7362.0,7382.0,7155.0,7216.0,73474
2008-08-18,1536,9114,-7578,22372,27453,-5081,2827,5911,-3084,26735,42478,-15743,1804,5826,-4022,0,1406,-1406,2,53,-51,1806,7285,-5479,7180.0,7222.0,6956.0,6980.0,78395
2008-08-19,2280,10724,-8444,29128,29814,-686,2850,6553,-3703,34258,47091,-12833,3566,6198,-2632,128,1185,-1057,2,3,-1,3696,7386,-3690,6856.0,6978.0,6813.0,6936.0,75511
2008-08-20,2105,9988,-7883,30668,30085,583,2777,6962,-4185,35550,47035,-11485,1228,4732,-3504,80,1228,-1148,2,145,-143,1310,6105,-4795,6904.0,7052.0,6873.0,7041.0,45006
2008-08-21,1541,9163,-7622,22151,20058,2093,2920,7020,-4100,26612,36241,-9629,353,4453,-4100,11,182,-171,2,3,-1,366,4638,-4272,6938.0,6958.0,6855.0,6878.0,62073
2008-08-22,1387,9230,-7843,22641,20659,1982,3039,9040,-6001,27067,38929,-11862,1083,4793,-3710,195,641,-446,2,93,-91,1280,5527,-4247,6845.0,6975.0,6766.0,6865.0,85588
2008-08-25,1810,8561,-6751,22839,20838,2001,2834,8628,-5794,27483,38027,-10544,1567,4534,-2967,524,421,103,2,3,-1,2093,4958,-2865,6956.0,7037.0,6896.0,6988.0,58898
2008-08-26,1214,8343,-7129,23296,20828,2468,2797,8789,-5992,27307,37960,-10653,1344,4663,-3319,504,249,255,2,3,-1,1850,4915,-3065,6909.0,6962.0,6885.0,6946.0,47895
2008-08-27,1386,6813,-5427,21995,21225,770,2821,8583,-5762,26202,36621,-10419,963,3194,-2231,557,0,557,2,3,-1,1522,3197,-1675,6929.0,7120.0,6897.0,7082.0,65994
2008-08-28,1191,7042,-5851,21412,22261,-849,2816,8642,-5826,25419,37945,-12526,514,4184,-3670,611,0,611,2,3,-1,1127,4187,-3060,7080.0,7138.0,7034.0,7041.0,55653
2008-08-29,1774,6720,-4946,21201,21861,-660,2563,9005,-6442,25538,37586,-12048,547,4091,-3544,370,324,46,2,3,-1,919,4418,-3499,7100.0,7138.0,7011.0,7054.0,59255
2008-09-01,1540,9008,-7468,22389,23476,-1087,2647,9376,-6729,26576,41860,-15284,1214,5230,-4016,435,958,-523,2,3,-1,1651,6191,-4540,6980.0,6986.0,6740.0,6756.0,70445
2008-09-02,1505,9766,-8261,25181,22454,2727,2657,11741,-9084,29343,43961,-14618,1506,5872,-4366,453,560,-107,2,3,-1,1961,6435,-4474,6790.0,6797.0,6652.0,6698.0,75022
2008-09-03,1077,9869,-8792,25732,22875,2857,2493,11903,-9410,29302,44647,-15345,724,6549,-5825,449,982,-533,2,3,-1,1175,7534,-6359,6714.0,6756.0,6560.0,6588.0,80450
2008-09-04,1719,9009,-7290,23921,22777,1144,2483,12277,-9794,28123,44063,-15940,862,6490,-5628,457,1041,-584,1,3,-2,1320,7534,-6214,6561.0,6630.0,6345.0,6397.0,85061
2008-09-05,2277,10860,-8583,26464,23495,2969,2493,12132,-9639,31234,46487,-15253,1052,6183,-5131,437,347,90,0,3,-3,1489,6533,-5044,6235.0,6330.0,6203.0,6244.0,69240
2008-09-08,3659,7813,-4154,29462,25146,4316,2477,11782,-9305,35598,44741,-9143,2037,5294,-3257,485,495,-10,0,3,-3,2522,5792,-3270,6487.0,6677.0,6481.0,6677.0,59253
2008-09-09,2996,10189,-7193,29063,21706,7357,2592,11654,-9062,34651,43549,-8898,1172,6552,-5380,395,477,-82,0,3,-3,1567,7032,-5465,6594.0,6618.0,6390.0,6466.0,74031
2008-09-10,2544,8577,-6033,27803,25188,2615,2652,11534,-8882,32999,45299,-12300,1210,6693,-5483,318,355,-37,0,3,-3,1528,7051,-5523,6351.0,6516.0,6345.0,6453.0,85603
2008-09-11,3393,11212,-7819,28744,21531,7213,2657,10550,-7893,34794,43293,-8499,1470,7825,-6355,11,481,-470,0,3,-3,1481,8309,-6828,6437.0,6438.0,6203.0,6230.0,82819
2008-09-12,2978,10697,-7719,29485,21347,8138,2632,11413,-8781,35095,43457,-8362,2109,8071,-5962,11,375,-364,0,3,-3,2120,8449,-6329,6354.0,6369.0,6153.0,6288.0,86443
2008-09-15,2814,12297,-9483,30933,19424,11509,2866,10057,-7191,36613,41778,-5165,3047,7941,-4894,396,190,206,0,3,-3,3443,8134,-4691,6130.0,6190.0,5863.0,5967.0,81846
2008-09-16,3016,17081,-14065,41438,26144,15294,2688,7831,-5143,47142,51056,-3914,1737,9526,-7789,331,39,292,0,3,-3,2068,9568,-7500,5849.0,5858.0,5679.0,5685.0,90493
2008-09-17,3697,17763,-14066,43102,26370,16732,2667,9011,-6344,49466,53144,-3678,1131,10150,-9019,11,227,-216,0,3,-3,1142,10380,-9238,5916.0,5999.0,5719.0,5767.0,68589
2008-09-18,4551,8323,-3772,22715,19322,3393,2656,9816,-7160,29922,37461,-7539,1707,6735,-5028,11,119,-108,0,0,0,1718,6854,-5136,5551.0,5590.0,5416.0,5522.0,104745
2008-09-19,6571,6868,-297,25359,20296,5063,2376,10126,-7750,34306,37290,-2984,3263,4638,-1375,11,175,-164,0,3,-3,3274,4816,-1542,5806.0,5908.0,5785.0,5908.0,42344
2008-09-22,5917,8015,-2098,28608,19483,9125,2256,8209,-5953,36781,35707,1074,4034,4882,-848,11,175,-164,0,3,-3,4045,5060,-1015,6120.0,6122.0,5956.0,6089.0,79569
2008-09-23,5985,7817,-1832,26404,21325,5079,2327,7248,-4921,34716,36390,-1674,4498,5666,-1168,11,88,-77,0,3,-3,4509,5757,-1248,6030.0,6150.0,5995.0,6135.0,72431
2008-09-24,5913,9000,-3087,26722,20330,6392,2823,7073,-4250,35458,36403,-945,4851,6177,-1326,11,200,-189,0,3,-3,4862,6380,-1518,6117.0,6195.0,6075.0,6155.0,78510
2008-09-25,5630,9256,-3626,24499,19062,5437,3275,7082,-3807,33404,35400,-1996,5388,7203,-1815,11,429,-418,0,3,-3,5399,7635,-2236,6000.0,6159.0,5961.0,6058.0,77760
2008-09-26,5675,9306,-3631,25417,18308,7109,2305,9943,-7638,33397,37557,-4160,6131,8342,-2211,11,883,-872,0,3,-3,6142,9228,-3086,6050.0,6061.0,5819.0,5866.0,83525
2008-09-30,5725,9238,-3513,30895,18975,11920,2095,13160,-11065,38715,41373,-2658,5009,7854,-2845,11,883,-872,0,3,-3,5020,8740,-3720,5459.0,5587.0,5459.0,5549.0,51459
